Bezirk;≤50m²;51-80m²;81-129m²;>130m²;avg_m2
1., Innere Stadt;€ 22,21;€ 19,76;€ 18,28;€ 20,41;€ 19,67
2., Leopoldstadt;€ 19,46;€ 16,83;€ 14,73;€ 13,31;€ 16,16
3., Landstraße;€ 20,46;€ 16,85;€ 15,50;€ 15,20;€ 16,16
4., Wieden;€ 18,19;€ 16,58;€ 15,89;€ 15,63;€ 16,15
5., Margareten;€ 16,76;€ 14,67;€ 13,09;€ 15,50;€ 15,50
6., Mariahilf;€ 20,11;€ 16,06;€ 15,59;€ 15,62;€ 16,42
7., Neubau;€ 18,77;€ 15,78;€ 15,69;€ 15,61;€ 15,96
8., Josefstadt;€ 18,03;€ 14,97;€ 15,31;€ 15,13;€ 15,59
9., Alsergrund;€ 19,00;€ 15,46;€ 15,54;€ 18,11;€ 16,27
10., Favoriten;€ 16,87;€ 14,83;€ 13,90;€ 11,38;€ 14,72
11., Simmering;€ 14,45;€ 14,58;€ 12,69;k.A.;€ 14,10
12., Meidling;€ 16,22;€ 14,01;€ 13,27;€ 12,30;€ 14,37
13., Hietzing;€ 16,34;€ 16,20;€ 14,49;€ 14,61;€ 15,24
14., Penzing;€ 16,79;€ 13,59;€ 12,45;€ 12,46;€ 13,89
15., Rudolfsheim-Fünfhaus;€ 16,77;€ 13,53;€ 12,33;€ 12,88;€ 14,16
16., Ottakring;€ 17,41;€ 14,39;€ 12,70;€ 11,96;€ 14,53
17., Hernals;€ 16,51;€ 14,28;€ 13,70;€ 15,64;€ 14,55
18., Währing;€ 17,54;€ 14,79;€ 14,61;€ 18,64;€ 15,60
19., Döbling;€ 16,73;€ 15,36;€ 16,49;€ 17,62;€ 16,49
20., Brigittenau;€ 18,20;€ 14,04;€ 12,40;k.A.;€ 14,89
21., Floridsdorf;€ 16,04;€ 14,75;€ 13,95;€ 15,58;€ 15,01
22., Donaustadt;€ 17,07;€ 15,41;€ 16,08;k.A.;€ 16,05
23., Liesing;€ 17,50;€ 14,60;€ 12,57;k.A.;€ 14,23
